,Card,Color Identity,Week,Deck Score,Deck Legal,N Decks
0,silverbluff bridge,colorless,1,2.76,True,4
1,sleep-cursed faerie,U,1,2.76,True,15
2,mishra's factory,colorless,1,2.76,True,16
3,burning inquiry,R,1,2.76,True,4
4,the filigree sylex,colorless,1,2.76,True,6
5,"yavimaya, cradle of growth",colorless,1,0.65,False,2
6,"luxior, giada's gift",colorless,1,0.65,False,1
7,dark depths,colorless,1,0.65,False,4
8,devoted druid,G,1,0.65,False,2
9,blast zone,colorless,1,0.65,False,1
10,nezumi shortfang,B,1,2.82,False,1
11,thespian's stage,colorless,1,2.82,False,3
12,"urborg, tomb of yawgmoth",colorless,1,2.82,False,9
13,sinkhole surveyor,B,1,2.82,False,1
14,dark depths,colorless,1,2.82,False,4
15,scion of draco,colorless,1,3.53,False,3
16,snow-covered plains,W,1,3.53,False,2
17,leyline of the guildpact,gold,1,3.53,False,11
18,simian spirit guide,R,1,3.53,False,21
19,leyline binding,W,1,3.53,False,3
20,ephemerate,colorless,1,0.94,False,2
21,solitude,W,1,0.94,False,7
22,chancellor of the annex,W,1,0.94,False,16
23,plains,W,1,0.94,False,10
24,cavern of souls,colorless,1,2.47,False,26
25,norin the wary,R,1,2.47,False,1
26,chancellor of the annex,W,1,2.47,False,16
27,guide of souls,W,1,2.47,False,1
28,geier reach sanitarium,colorless,1,2.82,False,2
29,"ulamog, the infinite gyre",colorless,1,2.82,False,1
30,calciform pools,gold,1,2.82,False,5
31,volatile fault,colorless,1,2.82,False,4
32,engineered explosives,colorless,1,2.82,False,1
33,"thalia, guardian of thraben",W,1,1.76,True,6
34,wheel of sun and moon,gold,1,1.76,True,2
35,stomping ground,gold,1,1.76,True,1
36,lightning bolt,R,1,1.76,True,2
37,battlefield forge,gold,1,1.76,True,1
38,"thalia, guardian of thraben",W,1,1.71,False,6
39,chancellor of the annex,W,1,1.71,False,16
40,chancellor of the tangle,G,1,1.71,False,20
41,solitude,W,1,1.71,False,7
42,cavern of souls,colorless,1,1.71,False,26
43,thornglint bridge,colorless,1,2.94,False,1
44,serene remembrance,G,1,2.94,False,4
45,path to exile,W,1,2.94,False,5
46,volatile fault,colorless,1,2.94,False,4
47,helix pinnacle,G,1,2.94,False,3
48,chancellor of the annex,W,1,1.94,False,16
49,spawning pool,B,1,1.94,False,1
50,orzhov basilica,gold,1,1.94,False,1
51,malakir rebirth,B,1,1.94,False,2
52,solitude,W,1,1.94,False,7
53,chancellor of the annex,W,1,4.06,False,16
54,island,U,1,4.06,False,13
55,echoing truth,U,1,4.06,False,1
56,sleep-cursed faerie,U,1,4.06,False,15
57,volatile fault,colorless,1,4.06,False,4
58,pact of negation,U,1,2.12,False,7
59,island,U,1,2.12,False,13
60,sleep-cursed faerie,U,1,2.12,False,15
61,mental misstep,U,1,2.12,False,27
62,consign to memory,U,1,2.12,False,2
