,Card,Color Identity,Week,Deck Score,Deck Legal,N Decks
0,mishra's factory,colorless,1,2.76,True,10
1,sleep-cursed faerie,U,1,2.76,True,13
2,the filigree sylex,colorless,1,2.76,True,5
3,silverbluff bridge,gold,1,2.76,True,4
4,burning inquiry,R,1,2.76,True,4
5,blast zone,colorless,1,0.65,False,1
6,"yavimaya, cradle of growth",colorless,1,0.65,False,2
7,dark depths,colorless,1,0.65,False,4
8,"luxior, giada's gift",colorless,1,0.65,False,1
9,devoted druid,G,1,0.65,False,2
10,nezumi shortfang,B,1,2.82,False,1
11,thespian's stage,colorless,1,2.82,False,3
12,"urborg, tomb of yawgmoth",colorless,1,2.82,False,8
13,dark depths,colorless,1,2.82,False,4
14,sinkhole surveyor,B,1,2.82,False,1
15,snow-covered plains,W,1,3.53,False,2
16,leyline of the guildpact,gold,1,3.53,False,11
17,leyline binding,W,1,3.53,False,3
18,simian spirit guide,R,1,3.53,False,16
19,scion of draco,colorless,1,3.53,False,3
20,solitude,W,1,0.94,False,6
21,ephemerate,colorless,1,0.94,False,2
22,chancellor of the annex,W,1,0.94,False,16
23,plains,W,1,0.94,False,6
24,guide of souls,W,1,2.47,False,1
25,cavern of souls,colorless,1,2.47,False,23
26,norin the wary,R,1,2.47,False,1
27,chancellor of the annex,W,1,2.47,False,16
28,geier reach sanitarium,colorless,1,2.82,False,2
29,engineered explosives,colorless,1,2.82,False,1
30,calciform pools,gold,1,2.82,False,4
31,"ulamog, the infinite gyre",colorless,1,2.82,False,1
32,volatile fault,colorless,1,2.82,False,4
33,lightning bolt,R,1,1.76,True,2
34,"thalia, guardian of thraben",W,1,1.76,True,4
35,battlefield forge,gold,1,1.76,True,1
36,stomping ground,gold,1,1.76,True,1
37,wheel of sun and moon,gold,1,1.76,True,2
38,chancellor of the annex,W,1,1.71,False,16
39,"thalia, guardian of thraben",W,1,1.71,False,4
40,cavern of souls,colorless,1,1.71,False,23
41,chancellor of the tangle,G,1,1.71,False,17
42,solitude,W,1,1.71,False,6
43,helix pinnacle,G,1,2.94,False,3
44,serene remembrance,G,1,2.94,False,4
45,thornglint bridge,gold,1,2.94,False,1
46,path to exile,W,1,2.94,False,4
47,volatile fault,colorless,1,2.94,False,4
48,chancellor of the annex,W,1,1.94,False,16
49,malakir rebirth,B,1,1.94,False,2
50,solitude,W,1,1.94,False,6
51,spawning pool,B,1,1.94,False,1
52,orzhov basilica,gold,1,1.94,False,1
53,chancellor of the annex,W,1,4.06,False,16
54,sleep-cursed faerie,U,1,4.06,False,13
55,echoing truth,U,1,4.06,False,1
56,volatile fault,colorless,1,4.06,False,4
57,island,U,1,4.06,False,12
58,consign to memory,U,1,2.12,True,2
59,mental misstep,U,1,2.12,True,20
60,sleep-cursed faerie,U,1,2.12,True,13
61,island,U,1,2.12,True,12
62,pact of negation,U,1,2.12,True,4
63,ugin's labyrinth,colorless,1,3.88,False,5
64,mockery of nature,G,1,3.88,False,1
65,leyline of the guildpact,gold,1,3.88,False,11
66,scion of draco,colorless,1,3.88,False,3
67,disruptor flute,colorless,1,3.88,False,1
68,into the flood maw,U,1,3.65,False,3
69,island,U,1,3.65,False,12
70,lotus bloom,colorless,1,3.65,False,9
71,pact of negation,U,1,3.65,False,4
72,"jace, wielder of mysteries",U,1,3.65,False,2
73,"ajani, nacatl pariah",gold,1,2.71,False,2
74,"phelia, exuberant shepherd",colorless,1,2.71,False,2
75,dismember,B,1,2.71,False,4
76,volatile fault,colorless,1,2.71,False,4
77,plains,W,1,2.71,False,6
78,chancellor of the annex,W,1,4.06,False,16
79,inspiring vantage,gold,1,4.06,False,4
80,crack the earth,R,1,4.06,False,5
81,memnite,colorless,1,4.06,False,4
82,curse of silence,W,1,4.06,False,1
83,chancellor of the annex,W,2,2.82,False,16
84,"thalia, guardian of thraben",W,2,2.82,False,4
85,chrome mox,colorless,2,2.82,False,18
86,white orchid phantom,W,2,2.82,False,1
